============================================================
1	Weiss	3150105		Upper_Coosa 100.0	       34.13231	      -85.79396   11
SOURCES:	-3150104:-3150103
01:Jan	170.0
01:May	171.9
01:Sep	171.9
31:Dec	170.0
CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
               0.000             158.496
             921.411             161.544
           10498.165             164.592
           30837.049             166.116
           62646.082             167.640
          114290.742             168.859
          131368.297             169.164
          150603.219             169.469
          171769.766             169.774
          194938.266             170.078
          220140.766             170.383
          247695.516             170.688
          277090.625             170.993
          308623.375             171.298
          342331.938             171.602
          378253.438             171.907
          416428.469             172.212
          456892.813             172.517
          499690.969             172.822
          544862.313             173.126
          592453.750             173.431
          643020.313             173.736
          695606.125             174.041
          750747.688             174.346
          808490.750             174.650
          868881.938             174.955
          931969.625             175.260
          997631.625             175.565
         1065971.500             175.870
         1137101.375             176.174

END
==============================================================
